,"Austria - Carbon Footprint","Belgium - Carbon Footprint","Bulgaria - Carbon Footprint","Croatia - Carbon Footprint","Cyprus - Carbon Footprint","Czechia - Carbon Footprint","Denmark - Carbon Footprint","Estonia - Carbon Footprint","Finland - Carbon Footprint","France - Carbon Footprint","Germany - Carbon Footprint","Greece - Carbon Footprint","Hungary - Carbon Footprint","Ireland - Carbon Footprint","Italy - Carbon Footprint","Latvia - Carbon Footprint","Lithuania - Carbon Footprint","Luxembourg - Carbon Footprint","Malta - Carbon Footprint","Netherlands - Carbon Footprint","Poland - Carbon Footprint","Portugal - Carbon Footprint","Romania - Carbon Footprint","Slovakia - Carbon Footprint","Slovenia - Carbon Footprint","Spain - Carbon Footprint","Sweden - Carbon Footprint","United Kingdom - Carbon Footprint"
"1990-01-01 00:00:00",84.272,146.56,54.96,21.984,7.328,161.216,58.624,32.976,69.616,487.312,1161.488,95.264,87.936,40.304,553.264,21.984,43.968,10.992,3.664,208.848,362.736,54.96,164.88,76.944,14.656,260.144,76.944,659.52
"1991-01-01 00:00:00",87.936,157.552,51.296,14.656,7.328,150.224,65.952,32.976,76.944,520.288,1150.496,95.264,87.936,40.304,571.584,21.984,51.296,10.992,3.664,219.84,362.736,54.96,142.896,65.952,14.656,274.8,80.608,674.176
"1992-01-01 00:00:00",80.608,150.224,43.968,14.656,7.328,142.896,62.288,21.984,69.616,501.968,1099.2,95.264,76.944,40.304,545.936,14.656,32.976,10.992,3.664,216.176,340.752,58.624,128.24,51.296,14.656,274.8,80.608,659.52
"1993-01-01 00:00:00",84.272,150.224,43.968,18.32,7.328,135.568,62.288,18.32,69.616,490.976,1106.528,95.264,76.944,40.304,534.944,14.656,25.648,10.992,3.664,216.176,337.088,58.624,117.248,51.296,18.32,267.472,80.608,652.192
"1994-01-01 00:00:00",84.272,157.552,43.968,18.32,7.328,131.904,65.952,18.32,76.944,490.976,1102.864,98.928,76.944,40.304,534.944,14.656,25.648,10.992,3.664,216.176,329.76,62.288,117.248,43.968,18.32,274.8,84.272,652.192
"1995-01-01 00:00:00",87.936,161.216,43.968,18.32,7.328,131.904,65.952,14.656,73.28,505.632,1117.52,98.928,76.944,43.968,567.92,10.992,25.648,7.328,3.664,223.504,326.096,65.952,117.248,47.632,18.32,289.456,84.272,648.528
"1996-01-01 00:00:00",95.264,161.216,43.968,18.32,7.328,131.904,73.28,18.32,76.944,516.624,1110.192,98.928,73.28,47.632,534.944,14.656,21.984,10.992,3.664,223.504,326.096,62.288,117.248,51.296,18.32,274.8,87.936,681.504
"1997-01-01 00:00:00",91.6,168.544,40.304,21.984,7.328,128.24,65.952,18.32,76.944,505.632,1077.216,102.592,73.28,47.632,545.936,14.656,21.984,7.328,3.664,216.176,318.768,65.952,106.256,51.296,18.32,282.128,84.272,674.176
"1998-01-01 00:00:00",95.264,179.536,40.304,21.984,7.328,120.912,65.952,18.32,73.28,531.28,1080.88,109.92,73.28,47.632,556.928,14.656,21.984,7.328,3.664,223.504,293.12,73.28,95.264,51.296,18.32,304.112,84.272,696.16
"1999-01-01 00:00:00",91.6,183.2,36.64,21.984,7.328,113.584,65.952,18.32,73.28,520.288,1058.896,102.592,73.28,54.96,564.256,10.992,18.32,7.328,3.664,197.856,300.448,76.944,84.272,43.968,18.32,318.768,80.608,674.176
