,"Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom"
"1980-01-01 00:00:00",4.3430424,11.963846,7.3854866,,0,,5.8468337,,3.637841,35.03413,137.955387,2.753237,6.2609735,0.59483624,12.531035,,,0.2330994,0,4.178432,81.916161,0.38133937,8.2451382,,,17.831762,1.5455018,80.040627
"1981-01-01 00:00:00",4.5584993,11.833706,7.300168,,0,,4.6610222,,1.7166622,31.372465,140.178124,3.2471366,6.2357426,0.75685161,13.23586,,,0.19944334,0,4.5204344,75.368362,0.35329974,8.5221891,,,23.379433,1.4963465,75.897911
"1982-01-01 00:00:00",4.316905,11.632897,7.8869343,,0,,5.67416,,1.9141486,33.221279,140.536251,3.2948029,6.4573679,0.7650401,14.408751,,,0.17825249,0.016015492,5.3023405,77.755768,0.33398351,8.6882524,,,25.982918,1.8042902,71.176903
"1983-01-01 00:00:00",4.482913,10.535797,7.8988061,,0,,5.3405585,,2.0119331,29.389465,139.7178,3.8612123,6.1614127,0.87324536,13.27804,,,0.1040845,0.034700271,5.1515722,79.621223,0.37012351,10.534838,,,27.084349,2.1780155,71.189873
"1984-01-01 00:00:00",5.1172738,11.697268,7.9024282,,0.0067768535,,5.6618261,,2.4254403,27.958414,143.292519,3.8761897,6.1893716,0.87207556,14.919001,,,0.12091254,0.062727407,6.3498855,85.220886,0.34769177,10.382596,,,26.743647,2.6269193,49.430569
"1985-01-01 00:00:00",4.9774036,11.020677,7.834415,,0.0096439812,,6.9932947,,3.3988121,26.718954,144.350426,4.5127316,5.8249969,0.92764038,16.283747,,,0.12402884,0.12812404,6.46802,89.372238,0.66422838,11.021091,,,27.644196,3.0057046,67.44976
"1986-01-01 00:00:00",4.1954017,9.8829947,8.4897985,,0.0071678185,,7.0902038,,2.9066937,22.771631,147.027886,4.7351351,5.7593045,1.3639706,14.69109,,,0.11405667,0.090754539,6.7212582,92.830673,1.3758126,11.275525,,,26.802429,3.077992,73.390892
"1987-01-01 00:00:00",4.3034835,10.170564,8.8592434,,0.019678926,,6.988009,,3.6800227,20.410984,144.258179,5.2807426,5.8181777,1.9014874,15.129904,,,0.13026142,0.1214509,7.1983643,97.840157,1.7858149,12.272739,,,25.964087,3.0194392,74.502098
"1988-01-01 00:00:00",3.9043586,10.546992,8.1738777,,0.0118595,,6.6085963,,3.7445731,19.821688,141.622604,6.056242,5.3706079,1.8985629,14.604688,,,0.10283798,0.1527625,8.5676785,95.698929,2.0761812,13.99682,,,21.816315,2.85607,71.826515
"1989-01-01 00:00:00",3.9728808,11.087846,8.1624088,,0.013293063,,5.3493686,,3.6429539,21.621395,138.473969,6.3156133,5.0582867,2.0050135,14.308743,,,0.12278232,0.20219573,8.7341108,91.663475,2.4382043,14.030536,,,27.541471,2.5871613,68.96875
"1990-01-01 00:00:00",4.7068467,11.628699,7.6110573,,0.01264143,,5.8673902,,3.6090808,21.187031,127.249405,6.351512,4.6154904,1.9640709,15.250322,,,0.12278232,0.20019381,8.4090786,76.984352,2.736671,9.6178274,,,26.875477,2.6811347,69.029694
"1991-01-01 00:00:00",4.8410654,11.069654,6.6266747,,0.01264143,,7.9353666,,3.5585909,22.712839,127.58891,6.3102646,4.517066,1.9202039,14.087635,,,0.12652187,0.162157,7.9698272,76.764885,2.9080243,8.0755157,,,27.189926,2.624028,68.634224
"1992-01-01 00:00:00",3.4911056,10.13558,6.7979155,0.65633506,0.0033884142,,6.5157986,0.11904269,3.1080151,20.376402,113.37125,6.7053838,4.1758766,1.7850935,12.510626,0.40631306,0.43092537,0.17326643,0.10876331,8.0076828,72.613533,2.9298329,9.1818342,,1.7983453,26.959368,2.4483697,64.529114
"1993-01-01 00:00:00",3.0990448,9.4526911,6.7878542,0.62367243,0.004040048,26.679625,6.9856596,0.12016572,3.83341,16.062496,105.04579,6.7321296,4.0958643,1.7798295,10.653319,0.36709127,0.38573715,0.17264314,0.17938372,7.8758421,73.071365,3.0843627,9.4170027,7.783453,1.7233888,25.392826,2.4281294,56.225529
"1994-01-01 00:00:00",3.0750268,9.676589,6.6558518,0.39441732,0.0035187611,24.861713,7.7115951,0.039868068,4.9671998,15.558274,98.678314,7.0619903,3.8149114,1.6236631,11.342495,0.26045707,0.31566265,0.19570379,0.12198094,8.5187283,71.257286,3.2557161,9.1925135,6.704175,1.5994811,24.475157,2.4382496,52.981373
"1995-01-01 00:00:00",3.6274436,9.2420874,6.9226737,0.2039877,0.0026064841,24.465521,6.4470816,0.046606332,4.19451,16.669777,93.476585,6.9469252,3.8485529,1.6043617,12.002418,0.15443574,0.24362345,0.13524753,0.031094622,9.319561,70.547516,3.5566752,9.4662142,6.8448792,1.6028465,24.369579,2.3876486,49.882442
"1996-01-01 00:00:00",3.8252399,8.9713106,6.9268994,0.16392969,0.002345639,24.526529,8.8169432,0.076367021,5.1020527,17.274292,92.887505,7.0852885,3.9640255,1.7757353,11.277864,0.1464688,0.22135678,0.15082902,0,9.2190495,71.422501,3.4089997,9.5072584,6.6529107,1.5177938,20.972836,2.7020981,46.289494
"1997-01-01 00:00:00",3.8054605,8.2891216,6.9166369,0.25822008,0.002476793,23.811132,6.4793844,0.083105281,4.4712467,15.346625,88.821869,7.1243963,3.929702,1.6160595,11.169691,0.12011669,0.17158426,0.12091254,0,9.2405872,68.639313,3.4526169,7.8985634,6.0377388,1.6469026,23.379433,2.2813861,40.892944
"1998-01-01 00:00:00",3.2452729,7.9287858,6.701932,0.24281316,0.0033884142,21.809834,5.4844537,0.039306551,3.3265922,18.011604,84.147141,7.358211,3.7742233,1.662266,11.729605,0.089474678,0.1453882,0.094735593,0,9.4677191,63.854221,3.1772051,6.598959,5.6298056,1.6784149,22.768225,2.2915065,40.941566
"1999-01-01 00:00:00",3.5779946,6.9212451,5.7698674,0.21384814,0.0039097262,19.135262,4.5993528,0.040429585,3.3981731,16.435995,80.122887,7.3673639,3.7958176,1.4318181,11.795596,0.077217855,0.11657251,0.095358849,0,7.8797579,61.309818,3.8171325,5.810317,5.3124027,1.5199354,24.90831,2.1881356,36.126553
"2000-01-01 00:00:00",3.6062512,7.3039703,5.8839607,0.43324277,0.0063858884,22.491821,3.8822272,0.040991124,3.3157272,15.65649,82.317467,7.8078914,3.4489455,1.6950201,12.27523,0.0594455,0.085792124,0.10720079,0,8.3163986,59.337093,3.8308408,6.6353965,4.8368444,1.5067797,26.413218,2.1982558,38.855297
"2001-01-01 00:00:00",3.9276702,6.9009542,6.2572293,0.48131239,0.0069071753,21.817823,4.0954266,0.03790275,3.8321319,13.792459,83.77948,8.1404858,3.465539,1.7546792,13.212048,0.077830695,0.076623499,0.11904274,0,8.851593,59.41066,3.2058678,7.0728559,5.036448,1.5906087,24.112198,2.3927085,41.396034
"2002-01-01 00:00:00",3.8160565,6.2684426,5.7487388,0.59470737,0.0069071753,21.129297,4.067235,0.034814376,4.2584214,13.639601,85.187347,8.2830095,3.1945877,1.6809826,13.616845,0.062509686,0.13818426,0.071051702,0,8.7602177,57.771244,3.5317509,7.1597614,4.7839441,1.7123748,26.512518,2.3449991,38.142155
"2003-01-01 00:00:00",4.2137685,5.8549309,6.3711214,0.69207913,0.0069071753,21.611919,5.6594768,0.017407188,5.6983471,14.003415,85.853683,8.4280291,3.3384738,1.6388704,14.391063,0.061896872,0.17747839,0.053600397,0,8.915555,59.953159,3.3360965,7.7327099,4.9355555,1.6349707,24.515676,2.3919857,40.85923
"2004-01-01 00:00:00",3.9156611,5.4631095,6.1348858,0.73275346,0.0075587835,21.179775,4.3379927,0.040429585,5.1078048,13.573893,86.398621,8.5145655,3.0622945,1.685077,16.524584,0.060058344,0.17289408,0.078530803,0,8.8391914,59.611629,3.3747289,7.358911,4.7664924,1.6441491,26.006317,2.4671645,39.191772
"2005-01-01 00:00:00",3.7574241,5.1853361,5.9000587,0.70255584,0.0069071753,20.80537,3.6860602,0.032568287,2.8562038,14.881136,83.289726,8.3991442,2.6340458,1.7576036,16.496691,0.073540822,0.18795681,0.076037772,0,8.4887047,58.559513,3.3984067,7.5038238,4.5210781,1.588467,25.40481,2.3536735,40.100056
"2006-01-01 00:00:00",3.5250134,5.0139146,6.0471525,0.66003275,0.0071678185,20.84568,5.4785805,0.025268484,5.0017118,13.806983,83.714981,7.733717,2.7349708,1.5523062,16.876316,0.079669222,0.26130581,0.091619298,0,8.2583103,60.134403,3.399653,8.5194674,4.5352573,1.6003989,22.718004,2.7208929,43.822018
"2007-01-01 00:00:00",3.0870357,4.5731153,6.7765856,0.70625353,0.0065162103,21.204468,4.6522121,0.047167849,4.4022222,14.356855,86.322746,7.9740696,2.7390623,1.4762701,17.091301,0.099280104,0.24820776,0.075414509,0,8.7882833,59.088448,2.9416718,8.2815762,4.3389258,1.6104951,24.182394,2.4577672,40.862473
"2008-01-01 00:00:00",2.9196153,4.0182681,6.6783891,0.72843951,0.00534329,20.075809,4.1095223,0.072436355,3.2607634,13.413426,82.022232,7.7413249,2.6906457,1.3175336,16.949791,0.099280104,0.21218817,0.071674958,0,8.2824593,58.164146,2.580272,8.2979097,4.3765559,1.5899968,15.0662,2.3760824,37.851063
"2009-01-01 00:00:00",2.3502445,3.1205776,6.0700922,0.52260298,0.0028671275,18.724907,4.0014544,0.048852421,3.6090808,10.818997,77.525131,7.7918439,2.4267411,1.0691845,13.571943,0.079669222,0.15848622,0.064819083,0,7.7577076,54.457478,2.9086475,7.1949425,4.1409583,1.5138165,10.774616,1.7956158,31.584599
"2010-01-01 00:00:00",2.7126355,3.885329,6.56007,0.72166044,0.0035187611,18.809156,3.9162922,0.033691321,4.4507952,11.417978,79.434128,6.9321856,2.4978883,1.1516544,14.812189,0.10234431,0.19647054,0.063572563,0,7.7616239,57.92783,1.6730331,6.6598973,3.9342649,1.5043321,8.5066967,2.2618687,33.274082
