,"Algeria","Angola","Armenia","Australia","Austria","Azerbaijan","Belgium","Bolivia","Benin","Belarus","Bulgaria","Cambodia","Canada","Congo","Croatia","Cuba","Cyprus","Denmark","Ecuador","Egypt","Estonia","Finland","France","Zimbabwe","Uzbekistan","Uruguay","Ukraine","Turkey","Tunisia","Togo","Sweden","Spain","South Africa","Slovakia","Singapore","Serbia","Senegal","Romania","Qatar","Poland","Portugal","Paraguay","Panama","Pakistan","Peru","United Kingdom","Slovenia","Nigeria","Norway","Netherlands","Yemen","Montenegro","Mongolia","Mexico","Malta","Malaysia","Lithuania","Libya","Lebanon","Kosovo","Latvia","Italy","Hungary","Honduras","Iceland","Guatemala","Greece","Gibraltar","Germany","Georgia","Nepal"
"1980-01-01 00:00:00",6.0028181,1.0845428,,30.903896,12.554577,,28.459909,1.2610962,0.15133154,,16.747358,0.10088769,98.267731,0.25221923,,11.122869,1.0593208,15.759085,4.3633928,13.922503,,14.737751,121.20161,0.65577,,2.1690855,,17.155704,2.7744117,0.22699732,28.746494,54.098499,16.621248,,11.14809,,0.93321121,20.253204,0.55488235,20.626764,8.4408007,0.50443846,4.3633928,5.5236015,7.0873609,91.890717,,8.827673,10.686526,43.137981,2.4213047,,0.63054812,67.605026,0.47921655,8.6511202,,5.2713823,2.3960829,,,105.10884,13.154596,0.63054812,0.5922938,1.5385374,14.379866,0.17655347,164.780691,,0.10088769
"1981-01-01 00:00:00",6.2550373,1.0845428,,30.148802,12.083955,,26.008089,1.31154,0.15133154,,16.066366,0.10088769,92.285233,0.30266309,,11.324644,0.90798926,13.110655,4.5903902,15.9907,,13.075552,107.68017,0.75665772,,1.9420881,,15.249899,3.0518527,0.20177539,25.519323,51.112923,17.17613,,11.677751,,0.90798926,18.664225,0.93321121,18.392065,7.5651612,0.47921655,4.3129492,6.0028181,7.2386923,84.016457,,10.391433,9.7917528,39.560272,2.4717486,,0.63054812,74.245552,0.5296604,8.9033394,,6.1037054,2.2195294,,,101.94935,12.688661,0.55488235,0.53705055,1.31154,13.758784,0.20177539,149.143482,,0.10088769
"1982-01-01 00:00:00",7.0621386,1.1349866,,31.845697,11.194232,,24.090424,1.2358743,0.10088769,,16.11681,0.12610961,82.062279,0.25221923,,12.257855,0.98365504,12.397456,5.0191627,17.150908,,11.965649,100.05517,0.60532618,,1.8412005,,17.790268,2.7744117,0.20177539,21.595827,54.529526,18.487671,,12.358743,,0.93321121,18.336338,1.0845428,16.836729,10.076936,0.45399463,4.1111736,7.0873609,7.1630263,84.306862,,11.047203,8.8561926,34.770721,2.9005213,,0.73143578,78.235817,0.5296604,9.659997,,6.6081443,2.1943073,,,96.999329,11.973493,0.58010423,0.47917241,1.31154,12.933651,0.17655347,145.632804,,0.15133154
"1983-01-01 00:00:00",6.6585879,1.1854304,,30.678064,11.032353,,21.946327,1.2106524,0.15133154,,16.091587,0.12610961,74.966942,0.20177539,,11.198534,1.0845428,11.748608,4.4138365,20.127096,,11.201137,97.448753,0.78187966,,1.4628716,,18.587029,3.1527405,0.20177539,19.573481,54.761887,17.781456,,12.283077,,0.88276732,17.150908,1.0340989,17.126247,10.157857,0.47921655,4.2120614,7.2639141,6.5324783,80.78595,,10.416655,8.7002707,32.993465,2.62308,,0.73143578,71.884888,0.35310695,10.265323,,6.6333661,2.2951951,,,95.121475,12.004231,0.60532618,0.53705055,1.3619839,12.465176,0.15133154,140.844557,,0.15133154
"1984-01-01 00:00:00",7.692687,1.0340989,,32.532074,10.719166,,20.506765,1.1602085,0.15133154,,16.091587,0.15133154,76.735352,0.20177539,,11.602085,1.0845428,11.461748,4.2877269,21.917852,,11.503401,92.167885,0.75665772,,1.3872058,,18.235632,3.0266309,0.25221923,18.286695,44.738747,18.941666,,12.964069,,1.0593208,16.495138,1.2610962,16.69191,10.220359,0.5296604,4.1616173,7.4909115,6.7090316,96.728729,,10.769761,9.5123987,30.330172,3.329294,,0.80710155,71.843559,0.50443846,10.340989,,6.4568124,2.1943073,,,91.906387,10.643825,0.63054812,0.56871259,1.1854304,12.470769,0.12610961,134.06276,,0.15133154
"1985-01-01 00:00:00",8.0710154,1.336762,,32.431488,10.468693,,21.494448,1.1097647,0.17655347,,15.915034,0.15133154,76.603401,0.30266309,,11.829082,1.1349866,11.813557,4.4390588,23.128504,,10.938404,90.805397,0.80710155,,1.2863182,,19.071594,2.9005213,0.22699732,18.87438,44.747971,18.361561,,12.560518,,1.0340989,17.352684,1.0845428,16.811195,9.5264006,0.5296604,3.6319571,8.5502319,6.582922,84.52179,,11.40031,9.9042797,31.346245,3.7076228,,0.88276732,75.866486,0.327885,10.391433,,6.8351412,2.5474143,,,90.722366,10.920507,0.58010423,0.56908059,1.336762,12.914376,0.30266309,138.67187,,0.12610961
"1986-01-01 00:00:00",8.040966,1.2939073,,32.672657,10.890593,,24.202526,1.0592638,0.17499161,,15.644165,0.14844219,76.901215,0.29359892,,12.137497,1.1976264,11.640271,4.7498093,23.180372,,11.896258,91.269142,0.83538765,,1.2422082,,20.475967,3.2607412,0.18907288,19.53731,45.202927,18.293661,,14.386316,,1.0086428,17.383511,1.3498888,17.506714,10.381463,0.559991,3.7208111,8.8762617,7.1708407,84.860703,,10.688519,10.244954,34.969433,3.5441635,,0.88455963,78.302864,0.4298248,10.197765,,6.6953506,2.3965249,,,92.137993,10.281297,0.61148846,0.57483292,1.1747752,13.1752,0.46668553,146.185441,,0.20083407
"1987-01-01 00:00:00",8.1773062,1.2991041,,33.459759,11.041339,,24.322262,1.0316964,0.13533421,,15.106433,0.14844219,80.310066,0.32846129,,11.943987,1.2977637,11.322773,4.6554108,23.736103,,12.288092,92.285896,0.91014898,,1.4291186,,23.2278,2.7253108,0.1767107,19.064678,46.631447,18.135263,,15.926172,,1.0208158,18.344883,1.3791631,18.005594,10.102912,0.7056585,3.893919,9.6409674,7.2802262,82.927757,,11.206862,10.20041,35.696747,3.5146031,,0.89519256,81.179337,0.47111443,10.37163,,7.1946564,2.5173168,,,96.435867,10.516856,0.61568362,0.62210721,1.1891605,14.25933,0.47770408,142.046165,,0.22125398
"1988-01-01 00:00:00",8.4592152,1.3073888,,35.231403,10.756586,,25.093395,1.1255143,0.1712078,,15.250905,0.15988664,84.135414,0.28997037,,12.094796,1.3061684,10.826133,4.7712231,23.532375,,12.25754,93.323608,0.90875036,,1.8071626,,22.875385,3.2355237,0.18395217,18.26866,51.318935,18.010044,,16.966963,,0.87503421,17.84656,1.2980375,18.030472,10.686654,0.66186953,3.7953892,10.305286,7.4371452,87.523941,,12.125619,9.8425999,37.891151,3.6250556,,0.92347503,82.503212,0.50342482,10.714239,,7.57373,2.2545142,,,97.387863,9.5760822,0.6955201,0.65222299,1.3112049,14.973312,0.62665522,142.333148,,0.21434034
"1989-01-01 00:00:00",9.025095,1.3196187,,36.5956,10.742568,,24.59894,1.2062827,0.17557968,,12.753342,0.1594498,87.847649,0.32846129,,12.30755,1.6193414,10.349953,4.5996318,23.746901,,12.061639,95.379555,0.99796659,,1.7183305,,23.430908,3.269635,0.2149791,17.334784,51.177521,18.354744,,18.423384,,0.90458822,18.539839,1.334098,17.927752,13.204826,0.85813934,3.6953566,11.040427,6.3648643,89.333458,,12.590616,9.5563087,37.394913,3.8719249,,0.85695636,88.192284,0.52833247,11.460064,,7.7688994,1.7786844,,,100.77799,9.5749197,0.84660977,0.69788933,1.3230821,15.926618,0.5327633,134.091595,,0.21532784
